wylie,translations,comment
‘dod chags,страсть; [страстная] привязанность,
‘dod pa,желание; стремление,
‘du shes,восприятие; мысль; осознание; осознавание; помысел; помышление; представление; установка,
‘dus byas,,
‘dzin pa,цепляние,
‘gro ba,удел; участь,
‘jug pa'i sems,,
bag chags,склонность,
bag la nyal ,,
bdag,самость,
bdag dang bdag gir ‘dzin pa,,
bdag tu ‘dzin pa,,
brtags min gyi ‘gog pa,,
bsgrub pa ,,
bsod nams,заслуга,
byang [chub kyi] sems,бодхичитта,
byang chub,Пробуждение,
byis pa,"""дети""",
bzung ba,,
chad [pa'i] lta [ba],терминализм,теория о конечности существования
chags pa,привязанность,
dag pa,чистота,
dben pa,отрешенность,
dbu ma pa,мадхьямака; мадхьямика; последователь мадхьямаки,
dbyings (chos-dbyings),,
de bzhin gshegs pa,Татхагата,"""Так-пришедший"" - эпитет Будды"
de kho na [nyid],реальность,
dge ba'i bshes gnyen,благой друг,
dgra bcom pa,архат,святой полностью победивший свои омрачения
dmigs pa,восприятие; объект,
dngos po ,вещь; предмет,
gnas lugs,,
gsal ba,ясность; отчетливость,
gtso bo,Природа,(с. prakrti)
gzhan dbang,зависимое,
gzugs,физическое; форма; изображение,
ji snyed pa,явление,
‘jig rten,,
khams,дхату; сфера; элемент,
khro ba,,
kun rdzob pa'i bden pa,,
log rtog,,
med pa,небытие,
mi ‘thse ba,,
mi dge ba ,проступок,
mi rigs,,
mngon par zhen pa,влечение,
mngon rtog ,,
mnyam [par] gzhag [pa],ровное сосредоточение,
mthar ‘dzin pa,,
mthar lta,,
mtshan gzhi,,
mtshan nyid,природа,
myang ‘das,,
myong ba,опыт,
nga rgyal,гордость; гордыня,
ngar ‘dzin ,,
nges ‘byung,отречение,
ngo bo ,сущность,
nyan thos [rnams],"шравака, слушатели",
nyon mongs,омрачение,
pha rol tu phyin pa,парамита,
phung po,скандха; совокупность,
rang bzhin,природа; самобытие; самосущее,
rang gi mtshan nyid,,
rang rig,само-сознание,
rdzas,"субстанция, субстанциональное",
reg pa,контакт,
rgyud,"личность; поток (сознания, психики)",
*,тантра,
rjes su dran pa,,
rmongs pa,незнание; омраченность,
rnam par thar pa ,жизнь,
rnam shes,,
rtag lta ba,этернализм,
rten,жизнь; опора,
rten [cing] ‘brel [bar ‘byung ba],зависимое происхождение,
rtog pa,мысль,
sbyin pa ,,
sdug bsngal,,
sems bskyed,бодхичитта; устремленность к Пробуждению,
sems nyid,,
sgro ‘dogs pa,воображение; воображаемое,
sgyu ma,иллюзия,
shes pa,знание; осознание; осознавание; познание,
snying brtse ,,
snying rje,сострадание; милосердие,
snying stobs,,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,пратимокша,
spros pa ,измышления,
srid pa,становление,
stong [pa] nyid,пустота,
thams cad mkhyen pa,всеведение,
thug pa med pa,,
tshul khrims,нравственность,
yul,объект,
